mean,-1SD,+1SD,sd
1.0765,0.031967688388722104,2.1210323116112777,1.044532311611278
1.3046,0.16520593296261188,2.443994067037388,1.139394067037388
0.8594,0.0,1.783754715463712,0.924354715463712
0.8991,0.0,1.8498466486924894,0.9507466486924895
0.7049,0.0,1.5515498626941364,0.8466498626941364
0.7443,0.0,1.610393245557313,0.8660932455573128
0.6557,0.0,1.454672784267399,0.7989727842673991
0.519,0.0,1.2482729255909615,0.7292729255909615
0.4248,0.0,1.0780571928421454,0.6532571928421455
0.4268,0.0,1.0830330073990486,0.6562330073990487
0.5889,0.0,1.3603251681141857,0.7714251681141858
0.9668,0.0,1.9619370558872782,0.9951370558872782
1.0042,0.004909071391118847,2.003490928608881,0.9992909286088811
1.0638,0.030877176164646913,2.0967228238353535,1.0329228238353532
1.1674,0.08574513822569085,2.249054861774309,1.0816548617743091
1.3242,0.16795852003139067,2.4804414799686096,1.1562414799686094
1.2624,0.1488712666482288,2.3759287333517713,1.1135287333517712
1.3655,0.18986836126276363,2.5411316387372365,1.1756316387372363
1.6329,0.36343649520752264,2.9023635047924774,1.2694635047924774
1.3578,0.18477861912069127,2.5308213808793085,1.1730213808793086
1.0129,1.6201136576521336e-05,2.025783798863423,1.0128837988634234
1.191,0.10089954591331374,2.2811004540866864,1.0901004540866863
1.1186,0.06934596021745043,2.16785403978255,1.0492540397825496
1.2568,0.13445702211846133,2.3791429778815383,1.1223429778815386
